
2022/02/16 (15:42:03) | ===> btop++ v.1.2.2
2022/02/16 (15:42:03) | WARNING: Failed to join _runner thread on exit!

2022/02/17 (14:25:37) | ===> btop++ v.1.2.2
2022/02/17 (14:25:37) | WARNING: Failed to join _runner thread on exit!

2022/02/20 (15:11:58) | ===> btop++ v.1.2.3
2022/02/20 (15:11:58) | WARNING: Failed to join _runner thread on exit!

2022/02/20 (16:35:10) | ===> btop++ v.1.2.3
2022/02/20 (16:35:10) | WARNING: Failed to join _runner thread on exit!

2022/02/20 (16:37:53) | ===> btop++ v.1.2.3
2022/02/20 (16:37:53) | WARNING: Failed to join _runner thread on exit!

2022/02/20 (16:46:47) | ===> btop++ v.1.2.3
2022/02/20 (16:46:47) | WARNING: Failed to join _runner thread on exit!

2022/02/20 (20:00:11) | ===> btop++ v.1.2.3
2022/02/20 (20:00:11) | WARNING: Failed to join _runner thread on exit!

2022/02/20 (23:40:28) | ===> btop++ v.1.2.3
2022/02/20 (23:40:28) | WARNING: Failed to join _runner thread on exit!

2022/02/22 (20:45:59) | ===> btop++ v.1.2.3
2022/02/22 (20:45:59) | WARNING: Failed to join _runner thread on exit!

2022/02/22 (21:03:31) | ===> btop++ v.1.2.3
2022/02/22 (21:03:31) | WARNING: Failed to join _runner thread on exit!

2022/03/07 (10:40:33) | ===> btop++ v.1.2.5
2022/03/07 (10:40:33) | WARNING: Failed to join _runner thread on exit!

2022/03/10 (15:11:33) | ===> btop++ v.1.2.5
2022/03/10 (15:11:33) | WARNING: Failed to join _runner thread on exit!

2022/03/10 (15:11:56) | ===> btop++ v.1.2.5
2022/03/10 (15:11:56) | WARNING: Failed to join _runner thread on exit!

2022/03/11 (12:20:24) | ===> btop++ v.1.2.5
2022/03/11 (12:20:24) | WARNING: Failed to join _runner thread on exit!

2022/03/22 (15:55:26) | ===> btop++ v.1.2.5
2022/03/22 (15:55:26) | WARNING: Failed to join _runner thread on exit!

2022/04/09 (19:34:32) | ===> btop++ v.1.2.5
2022/04/09 (19:34:32) | WARNING: Failed to join _runner thread on exit!

2022/04/14 (00:00:14) | ===> btop++ v.1.2.5
2022/04/14 (00:00:14) | WARNING: Failed to join _runner thread on exit!

2022/04/15 (11:07:10) | ===> btop++ v.1.2.6
2022/04/15 (11:07:10) | WARNING: Failed to join _runner thread on exit!

2022/04/17 (21:56:45) | ===> btop++ v.1.2.6
2022/04/17 (21:56:45) | WARNING: Failed to join _runner thread on exit!

2022/04/17 (21:57:03) | ===> btop++ v.1.2.6
2022/04/17 (21:57:03) | WARNING: Failed to join _runner thread on exit!

2022/04/29 (16:38:56) | ===> btop++ v.1.2.6
2022/04/29 (16:38:56) | WARNING: Failed to join _runner thread on exit!

2022/05/03 (22:16:57) | ===> btop++ v.1.2.6
2022/05/03 (22:16:57) | WARNING: Failed to join _runner thread on exit!

2022/05/04 (13:15:26) | ===> btop++ v.1.2.6
2022/05/04 (13:15:26) | WARNING: Failed to join _runner thread on exit!

2022/05/04 (14:57:24) | ===> btop++ v.1.2.6
2022/05/04 (14:57:24) | WARNING: Failed to join _runner thread on exit!

2022/05/06 (22:16:50) | ===> btop++ v.1.2.6
2022/05/06 (22:16:50) | WARNING: Failed to join _runner thread on exit!

2022/05/11 (15:11:45) | ===> btop++ v.1.2.6
2022/05/11 (15:11:45) | WARNING: Failed to join _runner thread on exit!

2022/05/27 (19:55:51) | ===> btop++ v.1.2.6
2022/05/27 (19:55:51) | WARNING: Failed to join _runner thread on exit!

2022/05/27 (20:00:00) | ===> btop++ v.1.2.6
2022/05/27 (20:00:00) | WARNING: Failed to join _runner thread on exit!

2022/05/29 (23:58:18) | ===> btop++ v.1.2.7
2022/05/29 (23:58:18) | WARNING: Failed to join _runner thread on exit!
